year,num_emp,num_jobs,cbo_id,color,name
2006,1,1,1142,#752277,Social Economic Workers
2006,13,13,7701,#9edae5,Carpentry Supervisors
2006,165,165,7156,#9edae5,Electrical Workers
2006,15,15,7253,#9edae5,Heavy Machinery Assemblers
2006,2,2,3413,#d66011,Maritime Technicians
2006,135,135,7212,#9edae5,Machine Operators
2006,2,2,3424,#d66011,Public Transporation Technicians
2006,10,10,2332,#cc0000,Vocational Instructors
2006,21,21,9143,#581f05,Subway Mechanics
2006,3,3,6230,#105B10,Animal Trainers
2006,15,15,3180,#d66011,Technical Designers
2006,1,1,2424,#cc0000,Public Defenders
2006,152,152,1415,#752277,Hospitality Managers
2006,3,3,5162,#17bcef,Caregivers
2006,20,20,4212,#b7834b,Gambling Collectors
2006,23,24,6326,#105B10,Coal Workers
2006,17,17,9542,#581f05,Home Appliance Technicians
2006,2,2,2235,#cc0000,Nurses
2006,165,165,3423,#d66011,Road Transport Technicians
2006,1,1,2147,#cc0000,Mining Engineers
2006,16,16,7601,#9edae5,Textile Supervisors
2006,57,57,9102,#581f05,Vehicle Maintenance Supervisors
2006,20,20,3762,#d66011,Circus Artists
2006,2,2,6125,#105B10,Fruit Farmers
2006,1,1,8301,#ffc41c,Paper Manufacturing Supervisors
2006,12,12,1226,#752277,Storage and Transport COOs
2006,138,138,9111,#581f05,Pump and Motor Mechanics
2006,2,2,3213,#d66011,Aquafarmers
2006,91,91,9131,#581f05,Heavy Machinery Mechanics
2006,143,143,3912,#d66011,Production Control Technicians
2006,182,182,7711,#9edae5,Cabinetmakers
2006,1,1,6301,#105B10,Forestry and Aquaculture Supervisors
2006,3,3,7622,#9edae5,Leather Tanners
2006,1,1,3322,#d66011,Vocational Teachers
2006,229,229,5112,#17bcef,Public Transit Attendants
2006,12,12,2238,#cc0000,Audiologists
2006,23,23,7651,#9edae5,Leather Upholstery Workers
2006,927,930,4101,#b7834b,Administrative Supervisors
2006,14,14,1111,#752277,Legislators
2006,21,21,7682,#9edae5,Tissue Makers
2006,19,19,2533,#cc0000,Stockbrokers
2006,8,8,3211,#d66011,Agricultural Technicians
2006,24,24,7614,#9edae5,Textile Dyers
2006,16,16,4241,#b7834b,Interviewers and Census Takers
2006,124,124,7151,#9edae5,Excavators
2006,22,22,7824,#9edae5,Public Transit Driver
2006,20,20,5103,#17bcef,Security Supervisors
2006,14,14,7801,#9edae5,Packing and Labeling Supervisors
2006,2,2,7686,#9edae5,Typographers
2006,26,26,3224,#d66011,Dental Technicians
2006,20,20,8117,#ffc41c,Rubber and Plastics Machine Operators
2006,39,39,1233,#752277,Sales and Marketing Directors
2006,25,25,7751,#9edae5,Wood Finishers
2006,22,22,7112,#9edae5,Mineral Extraction Machinery Operators
2006,2436,2461,8485,#ffc41c,Butchers
2006,24,24,4152,#b7834b,Postal Workers
2006,2,3,3411,#d66011,Commercial Pilots
2006,23,23,9543,#581f05,Office Equipment Technicians
2006,18,18,5171,#17bcef,Firefighters and Lifeguards
2006,6,6,2221,#cc0000,Agricultural Engineers
2006,3,3,2543,#cc0000,Labor Inspectors
2006,10,10,9501,#581f05,Industrial Electrical Maintenance Supervisors
2006,3,3,2541,#cc0000,Federal Revenue Inspectors
2006,195,195,4213,#b7834b,Billing Collectors
2006,23,23,2618,#cc0000,Photographers
2006,24,24,8212,#ffc41c,Furnace Operators
2006,1,1,1223,#752277,Construction COOs
2006,59,59,1425,#752277,IT Managers
2006,3,3,6130,#105B10,Other Livestock Breeders
2006,177,177,3515,#d66011,Secretarial Technicians
2006,3,3,7162,#9edae5,Roofers
2006,29,29,2142,#cc0000,Civil Engineers
2006,33,33,7683,#9edae5,Leather and Fur Footwear Workers
2006,12,12,8601,#ffc41c,Utility Supervisors
2006,2,2,2032,#cc0000,Engineering Researchers
2006,2158,2161,7823,#9edae5,Passenger Vehicle Drivers
2006,58,58,2410,#cc0000,Lawyers
2006,26,26,7828,#9edae5,Animal-Drawn Vehicle Conductors
2006,251,251,3251,#d66011,Pharmacy Technicians
2006,12,15,1411,#752277,Agricultural Production Managers
2006,16,16,2629,#cc0000,Interior Designer
2006,3,3,7224,#9edae5,Metal Straightening Workers
2006,164,164,9511,#581f05,Electrical Maintenance Workers
2006,26,26,8411,#ffc41c,Grains Processing Workers
2006,3,3,3714,#d66011,Recruiters
2006,2,2,2626,#cc0000,Musicians
2006,14,14,8202,#ffc41c,Building Material Supervisors
2006,3,3,6231,#105B10,Large Animal Livestock Workers
2006,4,4,1426,#752277,R&amp;D Managers
2006,2,2,7401,#9edae5,Instrument Assembly Supervisors
2006,185,185,9192,#581f05,Landscapers
2006,3271,3277,8483,#ffc41c,Bakers
2006,213,213,7250,#9edae5,Other Mechanical Fitters
2006,9,9,2236,#cc0000,Physiotherapists
2006,127,127,3171,#d66011,System Administrators
2006,1,1,2614,#cc0000,Linguists
2006,23,23,7603,#9edae5,Clothing Manufacturing Supervisors
2006,3,3,8624,#ffc41c,Gas Utility Workers
2006,327,327,7632,#9edae5,Stitching Machine Operators
2006,4,4,1224,#752277,Trade COOs
2006,269,273,7630,#9edae5,Other Clothing Manufacturing Workers
2006,2,2,8417,#ffc41c,Beverage Manufacturing Workers
2006,87,87,2521,#cc0000,Administrators
2006,4072,4080,5134,#17bcef,Restaurant Workers
2006,3,3,7654,#9edae5,Leather Product Finishers
2006,29,29,3011,#d66011,Industrial Lab Technicians
2006,9,9,1312,#752277,Health Service Directors
2006,811,829,2234,#cc0000,Pharmacists
2006,220,221,9531,#581f05,Vehicle Maintenance Electricians
2006,4,4,3123,#d66011,Geographic Technicians
2006,16,16,3252,#d66011,Food Production Technicians
2006,298,298,7163,#9edae5,Glaziers
2006,42,42,5192,#17bcef,Recycling Collectors
2006,2452,2452,9144,#581f05,Car Mechanics
2006,33,33,7165,#9edae5,Floor Finishers
2006,358,358,6201,#105B10,Agricultural Supervisors
2006,4224,4234,5142,#17bcef,Garbagemen
2006,215,215,7243,#9edae5,Metal Welders
2006,2,2,1114,#752277,Public Service Leaders
2006,384,385,7842,#9edae5,Production Line Feeders
2006,35,35,7831,#9edae5,Train Workers
2006,357,357,7741,#9edae5,Furniture Assemblers
2006,39,39,7510,#9edae5,Jewelers
2006,4,4,7523,#9edae5,Potters
2006,1094,1099,5201,#17bcef,Sales Supervisors
2006,24,24,3184,#d66011,Technical Product Designers
2006,3,3,6124,#105B10,Flower Farmers
2006,3,3,8416,#ffc41c,Coffee and Tea Workers
2006,17,17,5151,#17bcef,Health Services Workers
2006,36,36,6224,#105B10,Flower Culivators
2006,4,4,3192,#d66011,Furniture Technicians
2006,10,10,3543,#d66011,Foreign Trade Analysts
2006,39,39,7663,#9edae5,Print Finishers
2006,81,81,1416,#752277,Transportation Managers
