year,num_emp,num_jobs,cbo_id,color,name
2008,16,16,7721,#9edae5,Wood Preparation Workers
2008,192,193,7633,#9edae5,Embroidery Machine Operators
2008,22,22,7642,#9edae5,Footwear Assemblers
2008,47,47,3547,#d66011,Independent Salesmen
2008,2,2,2331,#cc0000,Vocational Teachers
2008,8,8,3187,#d66011,Electronical Design Planners
2008,2,2,8421,#ffc41c,Other Tobacco Workers
2008,163,163,7631,#9edae5,Clothing Preparation Workers
2008,9,9,9503,#581f05,Electromechanical Maintenance Supervisors
2008,22,22,2512,#cc0000,Economists
2008,2,2,7826,#9edae5,Train Operators
2008,1,1,2621,#cc0000,Producers
2008,19,19,8118,#ffc41c,Pharmacuetical Machinery Operators
2008,1,1,2422,#cc0000,Public Ministry
2008,213,213,6220,#105B10,Other Agricultural Support Workers
2008,128,128,7212,#9edae5,Machine Operators
2008,4,4,7401,#9edae5,Instrument Assembly Supervisors
2008,120,122,9112,#581f05,HVAC Maintenance Workers
2008,2,2,5133,#17bcef,Housekeepers
2008,2,2,6420,#105B10,Forest Mechanization Workers
2008,12,12,8411,#ffc41c,Grains Processing Workers
2008,1706,1712,4221,#b7834b,Receptionists
2008,1,1,3763,#d66011,Presenters
2008,17,17,9543,#581f05,Office Equipment Technicians
2008,161,161,7662,#9edae5,Printers
2008,15925,15963,4110,#b7834b,Administrative Assistants
2008,3,3,2148,#cc0000,Cartographers and Surveyers
2008,220,220,5193,#17bcef,Veternary Service Workers
2008,86,87,9101,#581f05,Industrial Machinery Maintenance Supervisors
2008,17,17,7828,#9edae5,Animal-Drawn Vehicle Conductors
2008,18,18,1111,#752277,Legislators
2008,15,15,3311,#d66011,Early Childhood Teachers
2008,2,2,8211,#ffc41c,Sinter Operators
2008,1,1,7772,#9edae5,Land Vehicle Carpenters
2008,23,23,3422,#d66011,Customs Brokes
2008,18,18,2613,#cc0000,Archivists
2008,22,22,7687,#9edae5,Bookbinders
2008,101,101,3133,#d66011,Telecom Technicians
2008,2035,2038,5191,#17bcef,Couriers
2008,15,15,7601,#9edae5,Textile Supervisors
2008,17,17,7232,#9edae5,Thermochemical Metal Workers
2008,7,7,2235,#cc0000,Nurses
2008,145,145,3532,#d66011,Bank Technicians
2008,1268,1268,3132,#d66011,Electronics Technicians
2008,1,1,2516,#cc0000,Social Workers
2008,14,14,7701,#9edae5,Carpentry Supervisors
2008,2,2,7421,#9edae5,Musical Instrument Assemblers
2008,180,180,5161,#17bcef,Beauty Workers
2008,165,165,7156,#9edae5,Electrical Workers
2008,12,12,8202,#ffc41c,Building Material Supervisors
2008,5,5,2236,#cc0000,Physiotherapists
2008,168,168,7311,#9edae5,Electrical Equipment Assemblers
2008,198,198,3251,#d66011,Pharmacy Technicians
2008,24,24,7312,#9edae5,Telecom Equipment Assemblers
2008,17,17,8111,#ffc41c,Grinding and Mixing Machine Operators
2008,1483,1487,7825,#9edae5,General Cargo Drivers
2008,22,22,4152,#b7834b,Postal Workers
2008,169,169,7122,#9edae5,Ornamental Stone Workers
2008,9,9,3241,#d66011,Radiologists
2008,33,34,1233,#752277,Sales and Marketing Directors
2008,22,22,9542,#581f05,Home Appliance Technicians
2008,1,1,1221,#752277,Agricultural COOs
2008,1,1,2146,#cc0000,Material Science Engineers
2008,2191,2192,7832,#9edae5,Movers
2008,23,23,8232,#ffc41c,Glass Manufacturing Operators
2008,8,8,8103,#ffc41c,Pharmacuetical Production Supervisors
2008,23,23,6224,#105B10,Flower Culivators
2008,199,199,7152,#9edae5,Masonry Workers
2008,181,183,7711,#9edae5,Cabinetmakers
2008,3,3,2543,#cc0000,Labor Inspectors
2008,25,25,7614,#9edae5,Textile Dyers
2008,274,274,5112,#17bcef,Public Transit Attendants
