year,num_emp,num_jobs,cbo_id,color,name
2011,1,1,8415,#ffc41c,Dairy Pastuerization Workers
2011,4190,4197,1423,#752277,Marketing Managers
2011,5,5,3186,#d66011,Mechanical Design Planners
2011,12,12,7682,#9edae5,Tissue Makers
2011,77,77,5101,#17bcef,Hospitality Supervisors
2011,108,108,7252,#9edae5,Industrial Machine Assemblers
2011,504,504,3542,#d66011,Buyers
2011,45,45,3121,#d66011,Building Construction Technicians
2011,40,40,3544,#d66011,Auctioneers
2011,797,798,7741,#9edae5,Furniture Assemblers
2011,10,10,6410,#105B10,Mechanical Agricultural Workers
2011,14,14,7734,#9edae5,Wood Series Machinery Operators
2011,157,157,5135,#17bcef,Other Food Service Workers
2011,48,48,2123,#cc0000,IT Managers
2011,912,915,9913,#581f05,Vehicle Bodywork Mechanics
2011,94,94,2624,#cc0000,Visual Artists
2011,46,46,3180,#d66011,Technical Designers
2011,2,2,2032,#cc0000,Engineering Researchers
2011,128,128,3117,#d66011,Colorists
2011,68,68,7214,#9edae5,CNC Machinists
2011,120,120,7411,#9edae5,Precision Instrument Assemblers
2011,49,49,3513,#d66011,Administrative Technicians
2011,15448,15472,4211,#b7834b,Non-Bank Tellers
2011,151,151,4151,#b7834b,Scribes
2011,129,129,9191,#581f05,Lubricators
2011,34,34,xxxx,#C7C7C7,Unreported
2011,122,122,7522,#9edae5,Glass Processing Workers
2011,11,11,8213,#ffc41c,Laminating Operators
2011,151,151,7164,#9edae5,Plasterers
2011,4,4,9503,#581f05,Electromechanical Maintenance Supervisors
2011,2,2,3524,#d66011,Copyright Specialists
2011,1,1,8116,#ffc41c,Coke Equipment Operators
2011,1,1,6325,#105B10,Medicinal Species Cultivation
2011,26,26,7201,#9edae5,Metal Machining Supervisors
2011,2,2,9914,#581f05,Building Maintenance Workers
2011,2,2,6225,#105B10,Fruit Farm Workers
2011,14,14,6210,#105B10,General Agricultural Workers
2011,12,12,8117,#ffc41c,Rubber and Plastics Machine Operators
2011,7,8,3426,#d66011,Seaport Operations Technicians
2011,12,12,1224,#752277,Trade COOs
2011,151,151,8481,#ffc41c,Craft Food Preservation Workers
2011,1,1,8301,#ffc41c,Paper Manufacturing Supervisors
2011,1146,1148,4131,#b7834b,Accounting Assistants
2011,78,78,3421,#d66011,Transport Logistics Technicians
2011,10,10,7732,#9edae5,Wood Plate Pressing Operators
2011,42,42,2512,#cc0000,Economists
2011,12,12,7604,#9edae5,Cobbler Supervisors
2011,16,16,3762,#d66011,Circus Artists
2011,108,108,4121,#b7834b,Data Entry Specialists
2011,561,561,2124,#cc0000,Information Analysts
2011,8,8,8103,#ffc41c,Pharmacuetical Production Supervisors
2011,6,6,3114,#d66011,Plastic and Rubber Technicians
2011,130,130,7245,#9edae5,Metal Forming Machine Operators
2011,2,2,3413,#d66011,Maritime Technicians
2011,70,70,7102,#9edae5,Construction Supervisors
2011,1,1,3546,#d66011,Realtors
2011,1,1,2011,#cc0000,Biotechnologist
2011,96,96,3188,#d66011,Product Design Planners
2011,16,16,3250,#d66011,Horticulture Technicians
2011,15,15,8118,#ffc41c,Pharmacuetical Machinery Operators
2011,2,2,6120,#105B10,Other Farmers
2011,115,115,3221,#d66011,Alternative Therapy Technicians
2011,15,15,2544,#cc0000,State and Municipal Tax Collectors
2011,65,65,2611,#cc0000,Journalists
2011,109,109,3515,#d66011,Secretarial Technicians
2011,7,7,3743,#d66011,Projectionists
2011,15,15,6314,#105B10,Fishing Support Workers
2011,222,222,5121,#17bcef,Domestic Service Workers
2011,19,19,7721,#9edae5,Wood Preparation Workers
2011,11,11,9151,#581f05,Measuring Instrument Repairmen
2011,18,18,7642,#9edae5,Footwear Assemblers
2011,135,135,8214,#ffc41c,Metal Finishing Operators
2011,15,15,7253,#9edae5,Heavy Machinery Assemblers
2011,140,140,7122,#9edae5,Ornamental Stone Workers
2011,209,209,7633,#9edae5,Embroidery Machine Operators
2011,78,78,3547,#d66011,Independent Salesmen
2011,1,1,3771,#d66011,Professional Athletes
2011,8,8,3241,#d66011,Radiologists
2011,1720,1721,4221,#b7834b,Receptionists
2011,19,19,7521,#9edae5,Glassblowers
2011,2,2,2321,#cc0000,High School Teachers
2011,206,206,6220,#105B10,Other Agricultural Support Workers
2011,20,20,9542,#581f05,Home Appliance Technicians
2011,13,13,3142,#d66011,Tool Technicians
2011,1,1,2422,#cc0000,Public Ministry
2011,1,1,2631,#cc0000,Religious Professionals
2011,2140,2145,7832,#9edae5,Movers
2011,26,26,5133,#17bcef,Housekeepers
2011,20,20,6321,#105B10,Lumberjacks
2011,17,17,8212,#ffc41c,Furnace Operators
2011,2015,2019,5191,#17bcef,Couriers
2011,94,94,9131,#581f05,Heavy Machinery Mechanics
2011,44,44,2532,#cc0000,Marketing Consutants
2011,23,23,7683,#9edae5,Leather and Fur Footwear Workers
2011,162,162,7711,#9edae5,Cabinetmakers
2011,19,19,8331,#ffc41c,Paper Machinery Operators
2011,153,153,7311,#9edae5,Electrical Equipment Assemblers
2011,1,1,3545,#d66011,Insurance Agents
2011,98,98,3517,#d66011,Insurance Technicians
2011,17216,17251,4110,#b7834b,Administrative Assistants
2011,1234,1236,3132,#d66011,Electronics Technicians
2011,1474,1475,7825,#9edae5,General Cargo Drivers
2011,117,117,8401,#ffc41c,Food Manufacturing Supervisors
2011,240,241,5112,#17bcef,Public Transit Attendants
2011,18,18,8113,#ffc41c,Filtration Workers
2011,205,205,3251,#d66011,Pharmacy Technicians
2011,4,4,9109,#581f05,Other Maintenance Supervisors
2011,5,5,2147,#cc0000,Mining Engineers
2011,201,201,8621,#ffc41c,Steam Utility Workers
2011,144,144,7212,#9edae5,Machine Operators
2011,20,20,7510,#9edae5,Jewelers
2011,14,14,7605,#9edae5,Manufactured Fabrics Supervisors
2011,23,23,3514,#d66011,Judicial Clerks
2011,2,2,8624,#ffc41c,Gas Utility Workers
2011,20,20,7828,#9edae5,Animal-Drawn Vehicle Conductors
2011,18,18,2533,#cc0000,Stockbrokers
2011,106,107,3516,#d66011,Work Safety Technicians
2011,21,21,2617,#cc0000,Announcers
2011,21,21,1411,#752277,Agricultural Production Managers
2011,7,7,2122,#cc0000,Computer Engineers
2011,187,187,5161,#17bcef,Beauty Workers
2011,2785,2794,5143,#17bcef,Other Building Maintenance Workers
2011,3,3,7622,#9edae5,Leather Tanners
2011,8,8,3211,#d66011,Agricultural Technicians
2011,1,1,6323,#105B10,Fiber and Wax and Oil Extraction Workers
2011,166,166,3423,#d66011,Road Transport Technicians
2011,17,17,3184,#d66011,Technical Product Designers
2011,166,166,7822,#9edae5,Cargo Equipment Operators
2011,11,11,3181,#d66011,Construction Designers
2011,3,3,2543,#cc0000,Labor Inspectors
2011,178,178,3532,#d66011,Bank Technicians
2011,6,6,2616,#cc0000,Editors
2011,3,3,9142,#581f05,Marine Equipment Maintenance 
2011,2,2,9912,#581f05,Amusement Park Maintenance Workers
2011,3,3,7623,#9edae5,Leather Finishers
2011,23,23,7614,#9edae5,Textile Dyers
2011,130,130,3133,#d66011,Telecom Technicians
2011,22,22,7653,#9edae5,Leather Machine Operators
2011,14,15,3001,#d66011,Mechatronic Technicians
2011,22,22,2613,#cc0000,Archivists
2011,2,2,7612,#9edae5,Textile Wiring Workers
2011,17,17,4231,#b7834b,Customs Brokers
2011,23,23,8311,#ffc41c,Paper Pulp Manufacturing Workers
2011,65,65,2410,#cc0000,Lawyers
2011,146,146,3222,#d66011,Nursing Assistants
2011,3,3,3424,#d66011,Public Transporation Technicians
2011,43,44,2251,#cc0000,Clinicians
2011,292,293,8414,#ffc41c,Food Preservation Workers
2011,17,17,7524,#9edae5,Glassware and Ceramic Workers
2011,2,2,8416,#ffc41c,Coffee and Tea Workers
2011,258,258,5141,#17bcef,Building Management
2011,86,86,9102,#581f05,Vehicle Maintenance Supervisors
2011,17,17,8411,#ffc41c,Grains Processing Workers
2011,12,12,3252,#d66011,Food Production Technicians
2011,282,282,5193,#17bcef,Veternary Service Workers
2011,1,1,3012,#d66011,Bioengineer Technicians
2011,26,26,7651,#9edae5,Leather Upholstery Workers
2011,11,11,1236,#752277,Computer Service Officers
2011,26,26,8111,#ffc41c,Grinding and Mixing Machine Operators
2011,219,219,7152,#9edae5,Masonry Workers
2011,18,18,8232,#ffc41c,Glass Manufacturing Operators
2011,270,270,4222,#b7834b,Telephone Operators
2011,3,3,5131,#17bcef,Butlers and Maids
2011,48,48,2143,#cc0000,Electrical Engineers
2011,3,3,2132,#cc0000,Chemists
2011,22,22,7121,#9edae5,Ore Workers
2011,220,220,7156,#9edae5,Electrical Workers
2011,26,26,7824,#9edae5,Public Transit Driver
2011,147,147,2525,#cc0000,Financial Analysts
2011,1,1,1144,#752277,Non-Profit Organization Directors
2011,3,3,1313,#752277,Education Directors
2011,2,2,1232,#752277,Human Resource Directors
2011,2,2,6124,#105B10,Flower Farmers
2011,5,5,7681,#9edae5,Weavers and Knitters
2011,3,3,7764,#9edae5,Carpenters
2011,2848,2853,8485,#ffc41c,Butchers
2011,3,3,8622,#ffc41c,Water Utility Workers
2011,41,41,2142,#cc0000,Civil Engineers
2011,156,157,3511,#d66011,Accounting Technicians
2011,106,106,9101,#581f05,Industrial Machinery Maintenance Supervisors
2011,4,4,5162,#17bcef,Caregivers
2011,217,218,7250,#9edae5,Other Mechanical Fitters
2011,3,3,7613,#9edae5,Loom Operators
2011,23,23,7751,#9edae5,Wood Finishers
2011,162,162,9111,#581f05,Pump and Motor Mechanics
2011,3,3,5102,#17bcef,Laundry Supervisors
2011,5,5,2148,#cc0000,Cartographers and Surveyers
2011,22,22,5171,#17bcef,Firefighters and Lifeguards
2011,1,1,8102,#ffc41c,Plastics and Rubber Production Supervisors
2011,93,93,1427,#752277,Project Managers
2011,3,3,2623,#cc0000,Scenographers
2011,244,244,7244,#9edae5,Boiler Workers
2011,24,24,7211,#9edae5,Toolmakers
2011,1,1,1234,#752277,Other Directors
2011,33,33,7643,#9edae5,Footwear Finishers
2011,1,1,2349,#cc0000,Art Professors
2011,38,38,5192,#17bcef,Recycling Collectors
2011,175,175,9511,#581f05,Electrical Maintenance Workers
2011,20,20,7821,#9edae5,Crane Operators
2011,158,158,3144,#d66011,Machinery Technicians
2011,34,34,7664,#9edae5,Photo Lab Technicians
2011,24,24,7735,#9edae5,CNC Wood Machinists
2011,902,915,2234,#cc0000,Pharmacists
2011,3,3,6223,#105B10,Horticulture Farm Workers
2011,223,223,4213,#b7834b,Billing Collectors
2011,194,194,1415,#752277,Hospitality Managers
2011,148,148,3171,#d66011,System Administrators
2011,4,4,2145,#cc0000,Chemical Engineers
2011,26,26,9143,#581f05,Subway Mechanics
2011,1,1,6125,#105B10,Fruit Farmers
2011,27,27,9141,#581f05,Aircraft Mechanics
2011,314,314,5243,#17bcef,Street Vendors
2011,8,8,2221,#cc0000,Agricultural Engineers
2011,1378,1381,4101,#b7834b,Administrative Supervisors
2011,233,233,7242,#9edae5,Steel Structural Erection Workers
2011,183,183,9192,#581f05,Landscapers
2011,39,39,3224,#d66011,Dental Technicians
2011,27,27,9543,#581f05,Office Equipment Technicians
2011,12,12,7606,#9edae5,Graphic Production Supervisors
2011,2712,2718,7823,#9edae5,Passenger Vehicle Drivers
2011,4,4,8611,#ffc41c,Other Power Distribution Workers
2011,234,236,5242,#17bcef,Kiosk and Stall Vendors
2011,35,35,7223,#9edae5,Metal Molding Workers
2011,35,35,3523,#d66011,Tax Agents
2011,30,30,3311,#d66011,Early Childhood Teachers
