year,num_emp,num_jobs,cbo_id,color,name
2012,3,3,7640,#9edae5,Other Footwear Manufacturing Workers
2012,87,87,7241,#9edae5,Plumbers
2012,9,9,7828,#9edae5,Animal-Drawn Vehicle Conductors
2012,13,13,6326,#105B10,Coal Workers
2012,67,67,3751,#d66011,Interior Designers
2012,41,41,3121,#d66011,Building Construction Technicians
2012,1,1,7501,#9edae5,Jewelry Supervisors
2012,11,11,7253,#9edae5,Heavy Machinery Assemblers
2012,58,58,7214,#9edae5,CNC Machinists
2012,5,5,7256,#9edae5,Aircraft Assemblers
2012,305,315,2522,#cc0000,Accountants
2012,14,14,8332,#ffc41c,Handmade Paper Product Workers
2012,1,1,8622,#ffc41c,Water Utility Workers
2012,1216,1219,5132,#17bcef,Cooks
2012,570,574,4102,#b7834b,Financial Supervisors
2012,5,5,2211,#cc0000,Biologists
2012,1235,1236,5199,#17bcef,Other Service Workers
2012,6,6,8101,#ffc41c,Chemical Production Supervisors
2012,57,57,8131,#ffc41c,Chemical Processing Workers
2012,1,1,7612,#9edae5,Textile Wiring Workers
2012,9,9,8213,#ffc41c,Laminating Operators
2012,38,38,3543,#d66011,Foreign Trade Analysts
2012,15,15,6420,#105B10,Forest Mechanization Workers
2012,4,4,2221,#cc0000,Agricultural Engineers
2012,11,11,7604,#9edae5,Cobbler Supervisors
2012,71,71,5101,#17bcef,Hospitality Supervisors
2012,129,129,8418,#ffc41c,Pastry Manufacturing Workers
2012,125,125,7213,#9edae5,Metal Polishers
2012,100,100,7155,#9edae5,Construction Workers
2012,50,50,3513,#d66011,Administrative Technicians
2012,14,14,2544,#cc0000,State and Municipal Tax Collectors
2012,1,1,7610,#9edae5,General Textile Workers
2012,12,12,7682,#9edae5,Tissue Makers
2012,111,111,7166,#9edae5,Interior Painters
2012,88,88,xxxx,#C7C7C7,Unreported
2012,377,377,2531,#cc0000,Public Relations
2012,121,121,9513,#581f05,Security System Technicians
2012,27,27,2149,#cc0000,Production Engineers
2012,16,16,7521,#9edae5,Glassblowers
2012,110,110,7252,#9edae5,Industrial Machine Assemblers
2012,913,913,9913,#581f05,Vehicle Bodywork Mechanics
2012,5,5,3711,#d66011,Library Technicians
2012,104,104,7251,#9edae5,Assembly Line Equipment Assemblers
2012,137,137,7164,#9edae5,Plasterers
2012,157,157,7633,#9edae5,Embroidery Machine Operators
2012,7,7,9911,#581f05,Railway Maintenance Workers
2012,4553,4571,1423,#752277,Marketing Managers
2012,15,15,3422,#d66011,Customs Brokes
2012,13,13,8117,#ffc41c,Rubber and Plastics Machine Operators
2012,136,136,7661,#9edae5,Prepress Graphics Workers
2012,2,2,7654,#9edae5,Leather Product Finishers
