year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,bra_id,cnae_id,cbo_id,cbo_1,cbo_4,num_jobs_est,cbo_display,bra_rca,wld_rca,wage_growth,num_emp_growth,wage_growth_5,num_emp_growth_5
2002,451.01,1,1,1,451.01,18,"4mg030000","g","1111","1","1111",1,"1111",false,false,,,,
2003,11834.58,27,27,7,438.32,33.741,"4mg030000","g","1111","1","1111",4,"1111",false,false,25.24,26,,
2004,663.41,2,2,2,331.71,23,"4mg030000","g","1111","1","1111",1,"1111",false,false,-0.944,-0.926,,
2005,7120.36,6,6,3,1186.73,33.667,"4mg030000","g","1111","1","1111",2,"1111",false,false,9.733,2,,
2006,11395.58,14,14,7,813.97,34.071,"4mg030000","g","1111","1","1111",2,"1111",false,false,0.6,1.333,,
2008,11439.19,18,18,12,635.51,32.111,"4mg030000","g","1111","1","1111",2,"1111",false,false,,,-0.007,-0.078
2009,15802.34,14,14,9,1128.74,29.643,"4mg030000","g","1111","1","1111",2,"1111",false,false,0.381,-0.222,0.885,0.476
2003,5166.84,9,9,8,574.09,31.444,"4mg030000","g","1112","1","1112",2,"1112",false,false,,,,
2004,3413.8,5,5,5,682.76,32,"4mg030000","g","1112","1","1112",1,"1112",false,false,-0.339,-0.444,,
2005,8612.65,8,8,8,1076.58,31.375,"4mg030000","g","1112","1","1112",1,"1112",false,false,1.523,0.6,,
2006,2822.04,3,3,3,940.68,28.333,"4mg030000","g","1112","1","1112",1,"1112",false,false,-0.672,-0.625,,
2007,5450.59,5,5,4,1090.12,29.2,"4mg030000","g","1112","1","1112",2,"1112",false,false,0.931,0.667,,
2008,4682.46,7,7,4,668.92,34.857,"4mg030000","g","1112","1","1112",2,"1112",false,false,-0.141,0.4,-0.019,-0.049
2009,5055.31,8,8,5,631.91,31.5,"4mg030000","g","1112","1","1112",2,"1112",false,false,0.08,0.143,0.082,0.099
2010,2311.17,2,2,2,1155.59,32.5,"4mg030000","g","1112","1","1112",1,"1112",false,false,-0.543,-0.75,-0.231,-0.242
2002,1500.44,3,3,2,500.15,37.667,"4mg030000","g","1113","1","1113",2,"1113",false,false,,,,
2003,1171.46,3,3,3,390.49,26.667,"4mg030000","g","1113","1","1113",1,"1113",false,false,-0.219,0,,
2004,1167.68,2,2,2,583.84,30,"4mg030000","g","1113","1","1113",1,"1113",false,false,-0.003,-0.333,,
2005,648.99,1,1,1,648.99,29,"4mg030000","g","1113","1","1113",1,"1113",false,false,-0.444,-0.5,,
2008,945.45,1,1,1,945.45,33,"4mg030000","g","1113","1","1113",1,"1113",false,false,,,-0.042,-0.197
2009,4000,1,1,1,4000,56,"4mg030000","g","1113","1","1113",1,"1113",false,false,3.231,0,0.279,-0.129
2010,4134.33,1,1,1,4134.33,57,"4mg030000","g","1113","1","1113",1,"1113",false,false,0.034,0,0.448,0
2002,242144.33,225,226,150,1071.44,35.434,"4mg030000","g","1114","1","1114",2,"1114",false,false,,,,
2003,4884.66,9,9,6,542.74,36.222,"4mg030000","g","1114","1","1114",2,"1114",false,false,-0.98,-0.96,,
2004,10100.3,13,13,9,776.95,36.769,"4mg030000","g","1114","1","1114",2,"1114",false,false,1.068,0.444,,
2005,8109.38,8,8,7,1013.67,42,"4mg030000","g","1114","1","1114",2,"1114",false,false,-0.197,-0.385,,
2006,1748.44,2,2,2,874.22,42.5,"4mg030000","g","1114","1","1114",1,"1114",false,false,-0.784,-0.75,,
2007,613.94,1,1,1,613.94,38,"4mg030000","g","1114","1","1114",1,"1114",false,false,-0.649,-0.5,-0.697,-0.661
2008,644.02,1,1,1,644.02,39,"4mg030000","g","1114","1","1114",1,"1114",false,false,0.049,0,-0.333,-0.356
2009,2602.44,1,1,1,2602.44,41,"4mg030000","g","1114","1","1114",1,"1114",false,false,3.041,0,-0.238,-0.401
2010,2953.51,1,1,1,2953.51,42,"4mg030000","g","1114","1","1114",1,"1114",false,false,0.135,0,-0.183,-0.34
2011,8517.39,3,3,2,2839.13,26.667,"4mg030000","g","1115","1","1115",2,"1115",false,false,,,,
2012,7354.35,3,3,3,2451.45,29.667,"4mg030000","g","1115","1","1115",1,"1115",false,false,-0.137,0,,
2013,26891.59,10,10,5,2689.16,29.6,"4mg030000","g","1115","1","1115",2,"1115",false,false,2.657,2.333,,
2014,37390.1,16,16,8,2336.88,29.062,"4mg030000","g","1115","1","1115",2,"1115",false,false,,,0.068,0.099
2003,709.18,2,2,1,354.59,29.5,"4mg030000","g","1142","1","1142",2,"1142",false,false,,,,
2004,745.88,2,2,1,372.94,30.5,"4mg030000","g","1142","1","1142",2,"1142",false,false,0.052,0,,
2006,1000,1,1,1,1000,37,"4mg030000","g","1142","1","1142",1,"1142",false,false,,,,
2007,1029.16,2,2,2,514.58,33,"4mg030000","g","1142","1","1142",1,"1142",false,false,0.029,1,,
2005,859.98,3,3,2,286.66,25.667,"4mg030000","g","1144","1","1144",2,"1144",false,false,,,,
2006,506.35,1,1,1,506.35,41,"4mg030000","g","1144","1","1144",1,"1144",false,false,-0.411,-0.667,,
2007,536.77,2,2,2,268.39,31,"4mg030000","g","1144","1","1144",1,"1144",false,false,0.06,1,,
2009,0,1,1,1,0,45,"4mg030000","g","1144","1","1144",1,"1144",false,false,,,,
2011,2231.68,1,1,1,2231.68,37,"4mg030000","g","1144","1","1144",1,"1144",false,false,,,0.345,0
2012,8550.57,9,9,8,950.06,43.333,"4mg030000","g","1144","1","1144",2,"1144",false,false,2.831,8,0.74,0.351
2013,3811,5,5,5,762.2,43.6,"4mg030000","g","1144","1","1144",1,"1144",false,false,-0.554,-0.444,,
2014,4991.16,6,6,6,831.86,42.5,"4mg030000","g","1144","1","1144",1,"1144",false,false,0,5,0.055,0.037
2002,1144994.63,787,790,580,1449.36,37.003,"4mg030000","g","1210","1","1210",2,"1210",false,false,,,,
2003,87470.88,72,72,52,1214.87,37.931,"4mg030000","g","1210","1","1210",2,"1210",false,false,-0.924,-0.909,,
2004,155181.05,55,55,41,2821.47,40.4,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.774,-0.236,,
2005,160955.19,54,55,39,2926.46,40.018,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.037,-0.018,,
2006,213223.79,77,77,52,2769.14,38.532,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.325,0.426,,
2007,220477.4,68,68,49,3242.32,41.088,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.034,-0.117,-0.281,-0.387
2008,200552.7,67,68,54,2949.3,42.338,"4mg030000","g","1210","1","1210",2,"1210",false,false,-0.09,-0.015,0.181,-0.014
2009,205822.79,65,67,49,3071.98,41.94,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.026,-0.03,0.058,0.034
2010,211241.52,72,72,59,2933.91,43.097,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.026,0.108,0.056,0.059
2011,370608.69,123,123,72,3013.08,37.967,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.754,0.708,0.117,0.098
2012,170914.31,57,57,49,2998.5,39.93,"4mg030000","g","1210","1","1210",2,"1210",false,false,-0.539,-0.537,-0.05,-0.035
2013,249664.39,51,53,46,4710.65,41.075,"4mg030000","g","1210","1","1210",2,"1210",false,false,0.461,-0.105,0.045,-0.053
2014,461997.66,53,53,47,8716.94,42.642,"4mg030000","g","1210","1","1210",2,"1210",false,false,1.245,-0.185,0.131,0.008
2004,370.85,1,1,1,370.85,30,"4mg030000","g","1221","1","1221",1,"1221",false,false,,,,
2005,401.95,1,1,1,401.95,31,"4mg030000","g","1221","1","1221",1,"1221",false,false,0.084,0,,
2006,725.19,2,2,2,362.6,48,"4mg030000","g","1221","1","1221",1,"1221",false,false,0.804,1,,
2007,476.95,1,1,1,476.95,65,"4mg030000","g","1221","1","1221",1,"1221",false,false,-0.342,-0.5,,
2008,1328.75,1,1,1,1328.75,41,"4mg030000","g","1221","1","1221",1,"1221",false,false,1.786,0,,
2009,1917.5,2,2,2,958.75,39,"4mg030000","g","1221","1","1221",1,"1221",false,false,0.443,1,0.389,0.149
2012,6741.45,2,2,2,3370.73,34.5,"4mg030000","g","1221","1","1221",1,"1221",false,false,,,0.698,0.149
2013,6289.01,1,1,1,6289.01,40,"4mg030000","g","1221","1","1221",1,"1221",false,false,-0.067,-0.5,0.365,0
2014,3484.96,1,1,1,3484.96,36,"4mg030000","g","1221","1","1221",1,"1221",false,false,0.817,-0.5,-0.111,0
2002,653.53,2,2,2,326.77,30.5,"4mg030000","g","1222","1","1222",1,"1222",false,false,,,,
2007,23843.5,1,1,1,23843.5,50,"4mg030000","g","1222","1","1222",1,"1222",false,false,,,1.053,-0.129
2009,2691.24,1,1,1,2691.24,51,"4mg030000","g","1222","1","1222",1,"1222",false,false,,,,
2010,11299.48,2,2,2,5649.74,45.5,"4mg030000","g","1222","1","1222",1,"1222",false,false,3.199,1,,
2011,8133.33,1,1,1,8133.33,40,"4mg030000","g","1222","1","1222",1,"1222",false,false,-0.28,-0.5,,
2012,9044.44,1,1,1,9044.44,41,"4mg030000","g","1222","1","1222",1,"1222",false,false,0.112,0,-0.176,0
2013,13074.63,2,2,2,6537.32,48.5,"4mg030000","g","1222","1","1222",1,"1222",false,false,0.446,1,,
2014,9629.1,2,2,2,4814.55,33,"4mg030000","g","1222","1","1222",1,"1222",false,false,2.578,1,-0.059,0
2003,2206.68,3,3,2,735.56,40.667,"4mg030000","g","1223","1","1223",2,"1223",false,false,,,,
2004,2053.94,2,2,1,1026.97,51.5,"4mg030000","g","1223","1","1223",2,"1223",false,false,-0.069,-0.333,,
2005,2158.69,2,2,1,1079.35,52.5,"4mg030000","g","1223","1","1223",2,"1223",false,false,0.051,0,,
2006,1337.87,1,1,1,1337.87,52,"4mg030000","g","1223","1","1223",1,"1223",false,false,-0.38,-0.5,,
2009,5100,2,2,2,2550,42,"4mg030000","g","1223","1","1223",1,"1223",false,false,,,0.199,0
2012,12835,1,1,1,12835,41,"4mg030000","g","1223","1","1223",1,"1223",false,false,,,,
2013,4262.91,2,2,2,2131.46,27.5,"4mg030000","g","1223","1","1223",1,"1223",false,false,-0.668,1,,
2014,18308.9,1,1,1,18308.9,52,"4mg030000","g","1223","1","1223",1,"1223",false,false,2.59,-0.5,0.338,-0.129
2003,11392.26,7,7,7,1627.47,44.857,"4mg030000","g","1224","1","1224",1,"1224",false,false,,,,
2004,11894.54,6,6,6,1982.42,37.833,"4mg030000","g","1224","1","1224",1,"1224",false,false,0.044,-0.143,,
2005,6966.45,8,8,8,870.81,35,"4mg030000","g","1224","1","1224",1,"1224",false,false,-0.414,0.333,,
2006,16151.38,4,4,4,4037.85,40.25,"4mg030000","g","1224","1","1224",1,"1224",false,false,1.318,-0.5,,
2007,52296.94,7,7,7,7470.99,37,"4mg030000","g","1224","1","1224",1,"1224",false,false,2.238,0.75,,
2008,44958.4,9,9,8,4995.38,46.778,"4mg030000","g","1224","1","1224",2,"1224",false,false,-0.14,0.286,0.316,0.052
2009,67740.26,9,9,9,7526.7,42.333,"4mg030000","g","1224","1","1224",1,"1224",false,false,0.507,0,0.416,0.084
2010,142145.02,17,17,16,8361.47,44.588,"4mg030000","g","1224","1","1224",2,"1224",false,false,1.098,0.889,0.828,0.163
2011,122474.38,12,12,12,10206.2,46.583,"4mg030000","g","1224","1","1224",1,"1224",false,false,-0.138,-0.294,0.5,0.246
2012,150893.94,13,13,13,11607.23,42.923,"4mg030000","g","1224","1","1224",1,"1224",false,false,0.232,0.083,0.236,0.132
2013,86998.64,10,10,9,8699.86,42.8,"4mg030000","g","1224","1","1224",2,"1224",false,false,-0.423,-0.231,0.141,0.021
2014,184452.27,19,20,18,9222.61,43.65,"4mg030000","g","1224","1","1224",2,"1224",false,false,1.723,1.111,0.162,0.137
2005,1070,1,1,1,1070,63,"4mg030000","g","1225","1","1225",1,"1225",false,false,,,,
2006,608,1,1,1,608,40,"4mg030000","g","1225","1","1225",1,"1225",false,false,-0.432,0,,
2007,2945.06,3,3,3,981.69,36.667,"4mg030000","g","1225","1","1225",1,"1225",false,false,3.844,2,,
2008,3140.3,5,5,4,628.06,39.8,"4mg030000","g","1225","1","1225",2,"1225",false,false,0.066,0.667,,
2009,3042.85,4,4,3,760.71,36.5,"4mg030000","g","1225","1","1225",2,"1225",false,false,-0.031,-0.2,,
2010,4057.1,5,5,4,811.42,44,"4mg030000","g","1225","1","1225",2,"1225",false,false,0.333,0.25,0.305,0.38
2011,3053.11,4,4,4,763.28,44,"4mg030000","g","1225","1","1225",1,"1225",false,false,-0.247,-0.2,0.381,0.32
2012,2500.66,3,3,2,833.55,36.333,"4mg030000","g","1225","1","1225",2,"1225",false,false,-0.181,-0.25,-0.032,0
2013,2014.1,2,2,2,1007.05,44.5,"4mg030000","g","1225","1","1225",1,"1225",false,false,-0.195,-0.333,-0.085,-0.167
2014,3991.1,4,4,2,997.78,32.25,"4mg030000","g","1225","1","1225",2,"1225",false,false,0.312,0,0.147,0.149
2003,18569.5,23,23,18,807.37,34.913,"4mg030000","g","1226","1","1226",2,"1226",false,false,,,,
2004,21450.46,35,35,15,612.87,29.286,"4mg030000","g","1226","1","1226",3,"1226",false,false,0.155,0.522,,
2005,13858.41,18,18,15,769.91,33,"4mg030000","g","1226","1","1226",2,"1226",false,false,-0.354,-0.486,,
2006,11001.79,12,12,10,916.82,35.5,"4mg030000","g","1226","1","1226",2,"1226",false,false,-0.206,-0.333,,
2007,3463.6,6,6,6,577.27,32.667,"4mg030000","g","1226","1","1226",1,"1226",false,false,-0.685,-0.5,,
2008,2589.45,3,3,3,863.15,41.333,"4mg030000","g","1226","1","1226",1,"1226",false,false,-0.252,-0.5,-0.326,-0.335
2009,2901.92,3,3,3,967.31,42.333,"4mg030000","g","1226","1","1226",1,"1226",false,false,0.121,0,-0.33,-0.388
2010,6046.35,5,5,5,1209.27,36,"4mg030000","g","1226","1","1226",1,"1226",false,false,1.084,0.667,-0.153,-0.226
2011,7345.28,6,6,4,1224.21,35.833,"4mg030000","g","1226","1","1226",2,"1226",false,false,0.215,0.2,-0.078,-0.129
2012,6146.2,5,5,3,1229.24,38.2,"4mg030000","g","1226","1","1226",2,"1226",false,false,-0.163,-0.167,0.122,-0.036
2013,6828.2,5,5,3,1365.64,39.2,"4mg030000","g","1226","1","1226",2,"1226",false,false,0.111,0,0.214,0.108
2014,8491.99,6,6,4,1415.33,36.667,"4mg030000","g","1226","1","1226",2,"1226",false,false,1.926,1,0.045,0.037
2003,18264.18,2,2,2,9132.09,34,"4mg030000","g","1227","1","1227",1,"1227",false,false,,,,
2004,21953.39,4,4,3,5488.35,31.75,"4mg030000","g","1227","1","1227",2,"1227",false,false,0.202,1,,
2005,21431.21,1,1,1,21431.21,48,"4mg030000","g","1227","1","1227",1,"1227",false,false,-0.024,-0.75,,
2006,23645.26,1,1,1,23645.26,49,"4mg030000","g","1227","1","1227",1,"1227",false,false,0.103,0,,
2007,24052.43,1,1,1,24052.43,50,"4mg030000","g","1227","1","1227",1,"1227",false,false,0.017,0,,
2008,27508.47,2,2,2,13754.24,38,"4mg030000","g","1227","1","1227",1,"1227",false,false,0.144,1,0.085,0
2010,64391.21,7,7,3,9198.74,40.143,"4mg030000","g","1227","1","1227",3,"1227",false,false,,,0.246,0.476
2011,63936.11,5,5,3,12787.22,42,"4mg030000","g","1227","1","1227",2,"1227",false,false,-0.007,-0.286,0.22,0.38
2012,2231.26,1,1,1,2231.26,24,"4mg030000","g","1227","1","1227",1,"1227",false,false,-0.965,-0.8,-0.378,0
2013,17959.52,2,2,2,8979.76,48.5,"4mg030000","g","1227","1","1227",1,"1227",false,false,7.049,1,-0.082,0
2014,17763.83,2,2,2,8881.92,52.5,"4mg030000","g","1227","1","1227",1,"1227",false,false,,,-0.002,0
2003,162046.3,84,92,69,1761.37,44.685,"4mg030000","g","1231","1","1231",2,"1231",false,false,,,,
2004,273653.39,113,123,86,2224.82,40.528,"4mg030000","g","1231","1","1231",2,"1231",false,false,0.689,0.345,,
2005,258243.6,97,108,77,2391.14,42.472,"4mg030000","g","1231","1","1231",2,"1231",false,false,-0.056,-0.142,,
2006,227518.45,116,126,91,1805.7,39.333,"4mg030000","g","1231","1","1231",2,"1231",false,false,-0.119,0.196,,
2007,407851.89,119,129,97,3161.64,41.264,"4mg030000","g","1231","1","1231",2,"1231",false,false,0.793,0.026,,
2008,276355.48,127,137,108,2017.19,40.993,"4mg030000","g","1231","1","1231",2,"1231",false,false,-0.322,0.067,0.113,0.086
2009,362470.52,131,138,118,2626.6,42.797,"4mg030000","g","1231","1","1231",2,"1231",false,false,0.312,0.031,0.058,0.03
2010,690279.79,159,161,132,4287.45,42.18,"4mg030000","g","1231","1","1231",2,"1231",false,false,0.904,0.214,0.217,0.104
2011,700928.22,154,155,132,4522.12,41.839,"4mg030000","g","1231","1","1231",2,"1231",false,false,0.015,-0.031,0.252,0.058
2012,525677.05,137,138,117,3809.25,41.304,"4mg030000","g","1231","1","1231",2,"1231",false,false,-0.25,-0.11,0.052,0.029
2013,502808.09,138,139,118,3617.32,41.633,"4mg030000","g","1231","1","1231",2,"1231",false,false,-0.044,0.007,0.127,0.017
2014,645814.3,105,106,96,6092.59,42.189,"4mg030000","g","1231","1","1231",2,"1231",false,false,0.782,-0.198,0.051,-0.053
2004,491.75,1,1,1,491.75,20,"4mg030000","g","1232","1","1232",1,"1232",false,false,,,,
2007,1005.16,1,1,1,1005.16,29,"4mg030000","g","1232","1","1232",1,"1232",false,false,,,,
2010,775.72,1,1,1,775.72,31,"4mg030000","g","1232","1","1232",1,"1232",false,false,,,,
2011,22404,2,2,2,11202,35.5,"4mg030000","g","1232","1","1232",1,"1232",false,false,27.882,1,,
2012,7452.52,4,4,4,1863.13,28.25,"4mg030000","g","1232","1","1232",1,"1232",false,false,-0.667,1,0.493,0.32
2013,4496.69,2,2,2,2248.35,28,"4mg030000","g","1232","1","1232",1,"1232",false,false,-0.397,-0.5,,
2014,3058.15,1,1,1,3058.15,26,"4mg030000","g","1232","1","1232",1,"1232",false,false,,,-0.074,-0.129
2003,170685.14,37,37,30,4613.11,39.838,"4mg030000","g","1233","1","1233",2,"1233",false,false,,,,
2004,176112.16,43,43,36,4095.63,41.744,"4mg030000","g","1233","1","1233",2,"1233",false,false,0.032,0.162,,
2005,198553.37,40,40,31,4963.83,38.35,"4mg030000","g","1233","1","1233",2,"1233",false,false,0.127,-0.07,,
2006,125549.42,39,39,33,3219.22,40.641,"4mg030000","g","1233","1","1233",2,"1233",false,false,-0.368,-0.025,,
2007,151306.37,34,35,32,4323.04,41.057,"4mg030000","g","1233","1","1233",2,"1233",false,false,0.205,-0.128,,
2008,130017.88,33,34,32,3824.06,42.412,"4mg030000","g","1233","1","1233",2,"1233",false,false,-0.141,-0.029,-0.053,-0.023
2009,119270.65,33,33,31,3614.26,41.152,"4mg030000","g","1233","1","1233",2,"1233",false,false,-0.083,0,-0.075,-0.052
2010,156783.68,32,32,31,4899.49,41.812,"4mg030000","g","1233","1","1233",2,"1233",false,false,0.315,-0.03,-0.046,-0.044
2011,353021.9,44,44,41,8023.23,40.091,"4mg030000","g","1233","1","1233",2,"1233",false,false,1.252,0.375,0.23,0.024
2012,499276.18,53,54,48,9245.86,43.444,"4mg030000","g","1233","1","1233",2,"1233",false,false,0.414,0.205,0.27,0.093
2013,645306.56,61,65,58,9927.79,44.708,"4mg030000","g","1233","1","1233",2,"1233",false,false,0.292,0.151,0.378,0.131
2014,683159.78,61,64,58,10674.37,45.047,"4mg030000","g","1233","1","1233",2,"1233",false,false,4.728,0.848,0.011,0
2003,10553.7,2,2,2,5276.85,33,"4mg030000","g","1234","1","1234",1,"1234",false,false,,,,
2004,11146.86,2,2,2,5573.43,34,"4mg030000","g","1234","1","1234",1,"1234",false,false,0.056,0,,
2005,1352.18,1,1,1,1352.18,45,"4mg030000","g","1234","1","1234",1,"1234",false,false,-0.879,-0.5,,
2007,1000,1,1,1,1000,65,"4mg030000","g","1234","1","1234",1,"1234",false,false,,,,
2009,3748.4,3,3,3,1249.47,39,"4mg030000","g","1234","1","1234",1,"1234",false,false,,,-0.196,0.084
2010,1294.82,1,1,1,1294.82,48,"4mg030000","g","1234","1","1234",1,"1234",false,false,-0.655,-0.667,-0.009,0
2011,2500,1,1,1,2500,28,"4mg030000","g","1234","1","1234",1,"1234",false,false,0.931,0,,
2012,4152.28,1,1,1,4152.28,38,"4mg030000","g","1234","1","1234",1,"1234",false,false,0.661,0,0.329,0
2013,4053.2,1,1,1,4053.2,39,"4mg030000","g","1234","1","1234",1,"1234",false,false,-0.024,0,,
2014,10518.09,3,3,3,3506.03,37.333,"4mg030000","g","1234","1","1234",1,"1234",false,false,1.806,0,0.21,0.246
2003,886.69,2,2,2,443.35,28.5,"4mg030000","g","1236","1","1236",1,"1236",false,false,,,,
2004,1540.19,3,3,3,513.4,35,"4mg030000","g","1236","1","1236",1,"1236",false,false,0.737,0.5,,
2005,2613.74,3,3,3,871.25,28,"4mg030000","g","1236","1","1236",1,"1236",false,false,0.697,0,,
2006,6052.3,3,3,2,2017.43,43,"4mg030000","g","1236","1","1236",2,"1236",false,false,1.316,0,,
2007,3000,1,1,1,3000,41,"4mg030000","g","1236","1","1236",1,"1236",false,false,-0.504,-0.667,,
2008,1850.98,1,1,1,1850.98,32,"4mg030000","g","1236","1","1236",1,"1236",false,false,-0.383,0,0.159,-0.129
2009,14466.52,11,11,7,1315.14,29.545,"4mg030000","g","1236","1","1236",2,"1236",false,false,6.816,10,0.565,0.297
2010,11058.03,7,8,6,1382.25,30.75,"4mg030000","g","1236","1","1236",2,"1236",false,false,-0.236,-0.364,0.334,0.185
2011,21452.87,11,11,9,1950.26,34.273,"4mg030000","g","1236","1","1236",2,"1236",false,false,0.94,0.571,0.288,0.297
2012,38869.31,8,8,8,4858.66,35.875,"4mg030000","g","1236","1","1236",1,"1236",false,false,0.812,-0.273,0.669,0.516
2013,58399.86,10,10,10,5839.99,38.3,"4mg030000","g","1236","1","1236",1,"1236",false,false,0.502,0.25,0.994,0.585
2014,64904.14,11,11,10,5900.38,37.364,"4mg030000","g","1236","1","1236",2,"1236",false,false,3.487,0,0.021,0.019
2003,1527.62,3,3,2,509.21,32.667,"4mg030000","g","1237","1","1237",2,"1237",false,false,,,,
2004,2703.67,4,4,3,675.92,34,"4mg030000","g","1237","1","1237",2,"1237",false,false,0.77,0.333,,
2005,23284.74,4,4,3,5821.19,40,"4mg030000","g","1237","1","1237",2,"1237",false,false,7.612,0,,
2006,23750,1,1,1,23750,64,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.02,-0.75,,
2007,33190.38,3,3,3,11063.46,42,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.397,2,,
2008,32900,2,2,2,16450,50.5,"4mg030000","g","1237","1","1237",1,"1237",false,false,-0.009,-0.333,0.848,-0.078
2009,33018.81,3,3,3,11006.27,44.667,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.004,0.5,0.65,-0.056
2010,32850.38,3,3,3,10950.13,47.667,"4mg030000","g","1237","1","1237",1,"1237",false,false,-0.005,0,0.071,-0.056
2011,37580.41,5,5,5,7516.08,42.4,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.144,0.667,0.096,0.38
2012,38717.32,4,4,4,9679.33,44.75,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.03,-0.2,0.031,0.059
2013,42832.62,3,3,3,14277.54,47.333,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.106,-0.25,0.054,0.084
2014,59265.8,3,3,3,19755.27,42,"4mg030000","g","1237","1","1237",1,"1237",false,false,0.795,0,0.067,0
2003,1165.56,2,2,2,582.78,51.5,"4mg030000","g","1238","1","1238",1,"1238",false,false,,,,
2004,1665.23,1,1,1,1665.23,43,"4mg030000","g","1238","1","1238",1,"1238",false,false,0.429,-0.5,,
2005,1200,1,1,1,1200,44,"4mg030000","g","1238","1","1238",1,"1238",false,false,-0.279,0,,
2006,3442.99,1,1,1,3442.99,31,"4mg030000","g","1238","1","1238",1,"1238",false,false,1.869,0,,
2007,1526.25,1,1,1,1526.25,29,"4mg030000","g","1238","1","1238",1,"1238",false,false,-0.557,0,,
2008,1855.09,1,1,1,1855.09,30,"4mg030000","g","1238","1","1238",1,"1238",false,false,0.215,0,0.097,-0.129
2009,1825.2,1,1,1,1825.2,31,"4mg030000","g","1238","1","1238",1,"1238",false,false,-0.016,0,0.019,0
2010,2038.77,1,1,1,2038.77,32,"4mg030000","g","1238","1","1238",1,"1238",false,false,0.117,0,0.112,0
2011,8139.6,4,4,3,2034.9,42.75,"4mg030000","g","1238","1","1238",2,"1238",false,false,2.992,3,0.188,0.32
2012,5632.94,3,3,3,1877.65,46.333,"4mg030000","g","1238","1","1238",1,"1238",false,false,-0.308,-0.25,0.298,0.246
2013,27646.49,5,5,5,5529.3,38.6,"4mg030000","g","1238","1","1238",1,"1238",false,false,3.908,0.667,0.717,0.38
2014,8986.39,4,4,3,2246.6,40.75,"4mg030000","g","1238","1","1238",2,"1238",false,false,3.924,3,-0.201,-0.044
2003,17788.9,10,10,10,1778.89,41.3,"4mg030000","g","1311","1","1311",1,"1311",false,false,,,,
2004,20488.49,10,10,9,2048.85,40.8,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.152,0,,
2005,26643.93,13,13,11,2049.53,35.154,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.3,0.3,,
2006,39616.09,15,15,10,2641.07,40.2,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.487,0.154,,
2007,37577.17,17,17,13,2210.42,34.706,"4mg030000","g","1311","1","1311",2,"1311",false,false,-0.051,0.133,,
2008,40918.59,14,14,11,2922.76,36.143,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.089,-0.176,0.181,0.07
2009,34066.81,7,7,4,4866.69,34.714,"4mg030000","g","1311","1","1311",2,"1311",false,false,-0.167,-0.5,0.107,-0.069
2010,28099.11,7,8,7,3512.39,36.25,"4mg030000","g","1311","1","1311",2,"1311",false,false,-0.175,0,0.011,-0.116
2011,51262.87,17,17,14,3015.46,38.588,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.824,1.429,0.053,0.025
2012,91070.95,27,27,23,3373,38.889,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.777,0.588,0.194,0.097
2013,91820.24,23,23,18,3992.18,38.087,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.008,-0.148,0.175,0.104
2014,62884.18,17,17,16,3699.07,42.176,"4mg030000","g","1311","1","1311",2,"1311",false,false,0.846,1.429,-0.073,-0.059
2003,5145.78,1,1,1,5145.78,53,"4mg030000","g","1312","1","1312",1,"1312",false,false,,,,
2004,1538.25,1,1,1,1538.25,29,"4mg030000","g","1312","1","1312",1,"1312",false,false,-0.701,0,,
2005,3781.9,3,3,3,1260.63,30,"4mg030000","g","1312","1","1312",1,"1312",false,false,1.459,2,,
2006,16678.03,9,9,7,1853.11,34,"4mg030000","g","1312","1","1312",2,"1312",false,false,3.41,2,,
2007,22890.19,12,12,10,1907.52,35.083,"4mg030000","g","1312","1","1312",2,"1312",false,false,0.372,0.333,,
2008,21757.47,9,9,8,2417.5,35.778,"4mg030000","g","1312","1","1312",2,"1312",false,false,-0.049,-0.25,0.334,0.552
2009,21967.49,9,9,7,2440.83,37.111,"4mg030000","g","1312","1","1312",2,"1312",false,false,0.01,0,0.702,0.552
2010,32324.56,17,17,8,1901.45,32.706,"4mg030000","g","1312","1","1312",3,"1312",false,false,0.471,0.889,0.536,0.415
2011,47386.16,22,22,9,2153.92,37.364,"4mg030000","g","1312","1","1312",3,"1312",false,false,0.466,0.294,0.232,0.196
2012,51550.58,20,20,13,2577.53,41.95,"4mg030000","g","1312","1","1312",2,"1312",false,false,0.088,-0.091,0.176,0.108
