year,num_emp,num_jobs,cbo_id,color,name
2002,20,20,7664,#9edae5,Photo Lab Technicians
2002,3,3,8213,#ffc41c,Laminating Operators
2002,27,27,9542,#581f05,Home Appliance Technicians
2002,102,102,3513,#d66011,Administrative Technicians
2002,3,3,5133,#17bcef,Housekeepers
2002,12,12,3544,#d66011,Auctioneers
2002,231,231,7156,#9edae5,Electrical Workers
2002,16,16,3242,#d66011,Clinical Pathology Technicians
2002,11,12,3423,#d66011,Road Transport Technicians
2002,40,40,4212,#b7834b,Gambling Collectors
2002,1049,1055,1421,#752277,Financial Managers
2002,2,2,3147,#d66011,Steel Technicians
2002,34,34,5151,#17bcef,Health Services Workers
2002,8,8,2332,#cc0000,Vocational Instructors
2002,3,3,8212,#ffc41c,Furnace Operators
2002,32,32,3183,#d66011,Utility Designers
2002,3,3,8231,#ffc41c,Glass Preparation Operators
2002,37,37,5164,#17bcef,Launderers
2002,1,1,2035,#cc0000,Social Sciences Researchers
2002,4,4,2241,#cc0000,Gym Teachers
2002,198,198,4132,#b7834b,Bank Assistants
2002,22,22,7245,#9edae5,Metal Forming Machine Operators
2002,787,790,1210,#752277,CEOs
2002,2714,2721,3912,#d66011,Production Control Technicians
2002,1,1,2134,#cc0000,Geologists
2002,2251,2261,9144,#581f05,Car Mechanics
2002,20,20,3412,#d66011,Fishermen
2002,25043,25149,5211,#17bcef,Vendors
2002,3,3,7162,#9edae5,Roofers
2002,24,24,7652,#9edae5,Leather Manufacturing Workers
2002,2,4,3411,#d66011,Commercial Pilots
2002,35,35,6201,#105B10,Agricultural Supervisors
2002,16,16,2030,#cc0000,Biology Researchers
2002,25,25,2618,#cc0000,Photographers
2002,17,17,7254,#9edae5,Engine Fitters
2002,1,1,3163,#d66011,Mining Technicians
2002,241,241,7212,#9edae5,Machine Operators
2002,278,278,3188,#d66011,Product Design Planners
2002,37,37,5152,#17bcef,Medical Lab Assistants
2002,35,35,8233,#ffc41c,Construction Equipment Operators
2002,41,41,6210,#105B10,General Agricultural Workers
2002,16,16,3135,#d66011,Photonics Technicians
2002,42,42,5141,#17bcef,Building Management
2002,2,2,7686,#9edae5,Typographers
2002,4,4,2533,#cc0000,Stockbrokers
2002,2,2,3422,#d66011,Customs Brokes
2002,3,3,6231,#105B10,Large Animal Livestock Workers
2002,1,1,2516,#cc0000,Social Workers
2002,3,3,7161,#9edae5,Concrete Coaters
2002,4,4,5121,#17bcef,Domestic Service Workers
2002,261,261,9531,#581f05,Vehicle Maintenance Electricians
2002,33,33,7166,#9edae5,Interior Painters
2002,3438,3443,4141,#b7834b,Stockmen
2002,252,252,2133,#cc0000,Astronomists
2002,95,95,2124,#cc0000,Information Analysts
2002,2,2,3181,#d66011,Construction Designers
2002,345,345,7601,#9edae5,Textile Supervisors
2002,403,403,7832,#9edae5,Movers
2002,4,4,8321,#ffc41c,Paper and Cardboard Manufacturing Workers
2002,268,269,7244,#9edae5,Boiler Workers
2002,5,5,7524,#9edae5,Glassware and Ceramic Workers
2002,4,4,2311,#cc0000,Elementary School Teachers
2002,52,52,6224,#105B10,Flower Culivators
2002,2,2,8484,#ffc41c,Food Tasters
2002,264,264,3743,#d66011,Projectionists
2002,5,5,3732,#d66011,Camera Operators
2002,4,4,7257,#9edae5,Refrigeration Installers
2002,19,19,3143,#d66011,Car Mechanics
2002,3,3,1113,#752277,Magistrates
2002,5,5,7651,#9edae5,Leather Upholstery Workers
2002,213,214,3133,#d66011,Telecom Technicians
2002,4,4,6410,#105B10,Mechanical Agricultural Workers
2002,4,4,2617,#cc0000,Announcers
2002,2,2,2544,#cc0000,State and Municipal Tax Collectors
2002,30,30,3123,#d66011,Geographic Technicians
2002,3,3,7202,#9edae5,Metal Processing Supervisors
2002,46,46,7242,#9edae5,Steel Structural Erection Workers
2002,36,36,7511,#9edae5,Precious Stone Artisans
2002,36,36,5241,#17bcef,Door-to-Door Salesmen
2002,307,308,3172,#d66011,Computer Technicians
2002,177,178,4102,#b7834b,Financial Supervisors
2002,31,31,8621,#ffc41c,Steam Utility Workers
2002,475,475,5132,#17bcef,Cooks
2002,39,39,7661,#9edae5,Prepress Graphics Workers
2002,3,3,2131,#cc0000,Physicists
2002,308,309,3515,#d66011,Secretarial Technicians
2002,5,5,8482,#ffc41c,Craft Dairy Pasteurization Workers
2002,40,40,4142,#b7834b,Production Trainers
2002,6,6,8415,#ffc41c,Dairy Pastuerization Workers
2002,3,3,3731,#d66011,Radio Station Technicians
2002,4,4,7114,#9edae5,Salt Workers
2002,3,3,7112,#9edae5,Mineral Extraction Machinery Operators
2002,27,27,7251,#9edae5,Assembly Line Equipment Assemblers
2002,597,597,7842,#9edae5,Production Line Feeders
2002,196,198,4101,#b7834b,Administrative Supervisors
2002,45,45,7232,#9edae5,Thermochemical Metal Workers
2002,569,569,2237,#cc0000,Nutritionists
2002,515,518,5199,#17bcef,Other Service Workers
2002,365,368,4223,#b7834b,Telemarketers
2002,6,6,7732,#9edae5,Wood Plate Pressing Operators
2002,16,16,2233,#cc0000,Veterinarians
2002,1,1,2032,#cc0000,Engineering Researchers
2002,6,6,7523,#9edae5,Potters
2002,43,43,7201,#9edae5,Metal Machining Supervisors
2002,86,86,2143,#cc0000,Electrical Engineers
2002,5,5,7223,#9edae5,Metal Molding Workers
2002,3,3,1426,#752277,R&amp;D Managers
2002,20,20,2515,#cc0000,Psychologists
2002,16,16,2132,#cc0000,Chemists
2002,16,16,9101,#581f05,Industrial Machinery Maintenance Supervisors
2002,45,45,7522,#9edae5,Glass Processing Workers
2002,494,494,5103,#17bcef,Security Supervisors
2002,50,50,7155,#9edae5,Construction Workers
2002,8,8,2145,#cc0000,Chemical Engineers
2002,1883,1894,1423,#752277,Marketing Managers
2002,5263,5283,4131,#b7834b,Accounting Assistants
2002,544,544,7632,#9edae5,Stitching Machine Operators
2002,2,2,2239,#cc0000,Physical Therapists
2002,56,56,7211,#9edae5,Toolmakers
2002,7,7,7643,#9edae5,Footwear Finishers
2002,6,6,7733,#9edae5,Other Wood Machining Operators
2002,34,34,9131,#581f05,Heavy Machinery Mechanics
2002,1,1,6321,#105B10,Lumberjacks
2002,222,222,3542,#d66011,Buyers
2002,17,17,3543,#d66011,Foreign Trade Analysts
2002,15,15,2232,#cc0000,Dentists
2002,455,455,7221,#9edae5,Metal Forging Workers
2002,30,30,3516,#d66011,Work Safety Technicians
2002,1,1,8421,#ffc41c,Other Tobacco Workers
2002,1,1,2123,#cc0000,IT Managers
2002,52,52,7662,#9edae5,Printers
2002,13,13,2394,#cc0000,Other Educators
2002,46,46,9112,#581f05,HVAC Maintenance Workers
2002,535,537,5173,#17bcef,Security Guards
2002,841,847,5143,#17bcef,Other Building Maintenance Workers
2002,40,40,3426,#d66011,Seaport Operations Technicians
2002,11,11,2512,#cc0000,Economists
2002,68,68,8181,#ffc41c,Industrial Lab Operators
2002,7,7,2321,#cc0000,High School Teachers
2002,225,226,1114,#752277,Public Service Leaders
2002,495,495,7233,#9edae5,Metal Equipment Painters
2002,859,860,4122,#b7834b,Secretaries
2002,5,5,5193,#17bcef,Veternary Service Workers
2002,2,2,3241,#d66011,Radiologists
2002,63,63,7164,#9edae5,Plasterers
2002,3,3,2614,#cc0000,Linguists
2002,2,2,1413,#752277,Construction Managers
2002,2,2,7510,#9edae5,Jewelers
2002,4,4,2627,#cc0000,Musicians
2002,3,3,8625,#ffc41c,Refrigeration Workers
2002,60,60,3011,#d66011,Industrial Lab Technicians
2002,26,26,9141,#581f05,Aircraft Mechanics
2002,7,7,8413,#ffc41c,Sugar Processing Workers
2002,69,69,7252,#9edae5,Industrial Machine Assemblers
2002,1,1,6234,#105B10,Insect Workers
2002,66,66,7122,#9edae5,Ornamental Stone Workers
2002,45,45,3111,#d66011,Chemical Technicians
2002,1,1,2111,#cc0000,Mathematicians
2002,2,2,2616,#cc0000,Editors
2002,5,5,9111,#581f05,Pump and Motor Mechanics
2002,81,81,8481,#ffc41c,Craft Food Preservation Workers
2002,12,12,2149,#cc0000,Production Engineers
2002,5,5,3518,#d66011,Investigative Technicians
2002,527,528,4231,#b7834b,Customs Brokers
2002,1,1,8211,#ffc41c,Sinter Operators
2002,46,46,7630,#9edae5,Other Clothing Manufacturing Workers
2002,84,84,6220,#105B10,Other Agricultural Support Workers
2002,3,3,2147,#cc0000,Mining Engineers
2002,1,1,7224,#9edae5,Metal Straightening Workers
2002,3,3,3211,#d66011,Agricultural Technicians
2002,85,85,5112,#17bcef,Public Transit Attendants
2002,76,78,5161,#17bcef,Beauty Workers
2002,87,87,3252,#d66011,Food Production Technicians
2002,1,1,2146,#cc0000,Material Science Engineers
2002,253,253,3511,#d66011,Accounting Technicians
2002,76,76,5231,#17bcef,Product Installers
2002,7,7,6232,#105B10,Midsize Animal Livestock Workers
2002,43,43,3131,#d66011,Electricians and Electrical Engineers
2002,29,29,3180,#d66011,Technical Designers
2002,60,60,4213,#b7834b,Billing Collectors
2002,47,47,2141,#cc0000,Architects and Planners
2002,1,1,7734,#9edae5,Wood Series Machinery Operators
2002,7073,7088,4110,#b7834b,Administrative Assistants
2002,689,692,5243,#17bcef,Street Vendors
2002,60,60,7631,#9edae5,Clothing Preparation Workers
2002,1,1,5111,#17bcef,Transportation Security
2002,59,59,7822,#9edae5,Cargo Equipment Operators
2002,1,1,2392,#cc0000,Special Education Teachers
2002,757,757,1415,#752277,Hospitality Managers
2002,4,4,7301,#9edae5,Electrical Manufacturing Supervisors
