year,num_emp,num_jobs,cbo_id,color,name
2003,21,21,4231,#b7834b,Customs Brokers
2003,28,28,7751,#9edae5,Wood Finishers
2003,3127,3137,5134,#17bcef,Restaurant Workers
2003,3,3,7643,#9edae5,Footwear Finishers
2003,785,787,5201,#17bcef,Sales Supervisors
2003,7,7,2612,#cc0000,Librarians
2003,3,3,6130,#105B10,Other Livestock Breeders
2003,2,2,1234,#752277,Other Directors
2003,29,29,7157,#9edae5,Insulation Workers
2003,718,741,2234,#cc0000,Pharmacists
2003,88,90,1422,#752277,Human Resource Managers
2003,4,5,3411,#d66011,Commercial Pilots
2003,33,33,2142,#cc0000,Civil Engineers
2003,61,62,2521,#cc0000,Administrators
2003,32,32,5164,#17bcef,Launderers
2003,2,2,3731,#d66011,Radio Station Technicians
2003,1,1,3187,#d66011,Electronical Design Planners
2003,137,137,3133,#d66011,Telecom Technicians
2003,76,76,1416,#752277,Transportation Managers
2003,6,6,2123,#cc0000,IT Managers
2003,26,26,7651,#9edae5,Leather Upholstery Workers
2003,20,20,7603,#9edae5,Clothing Manufacturing Supervisors
2003,7,7,1224,#752277,Trade COOs
2003,29,29,7721,#9edae5,Wood Preparation Workers
2003,3,3,6124,#105B10,Flower Farmers
2003,32,32,6224,#105B10,Flower Culivators
2003,16,16,3732,#d66011,Camera Operators
2003,21,21,2618,#cc0000,Photographers
2003,25,25,7254,#9edae5,Engine Fitters
2003,24,24,3003,#d66011,Electromechanical Technicians
2003,6,6,2221,#cc0000,Agricultural Engineers
2003,2,2,2311,#cc0000,Elementary School Teachers
2003,2,2,1238,#752277,Maintenance Officers
2003,3,3,1113,#752277,Magistrates
2003,24,24,6310,#105B10,Other Fisherman
2003,27,27,1111,#752277,Legislators
2003,31,31,4152,#b7834b,Postal Workers
2003,3636,3652,5142,#17bcef,Garbagemen
2003,39,39,4212,#b7834b,Gambling Collectors
2003,27,27,8117,#ffc41c,Rubber and Plastics Machine Operators
2003,1,1,3181,#d66011,Construction Designers
2003,18,18,9502,#581f05,Vehicle Electronics Maintenance Supervisors
2003,220,220,xxxx,#C7C7C7,Unreported
2003,3,3,6125,#105B10,Fruit Farmers
2003,18,18,2629,#cc0000,Interior Designer
2003,2,2,2627,#cc0000,Musicians
2003,7,7,7202,#9edae5,Metal Processing Supervisors
2003,2235,2239,9144,#581f05,Car Mechanics
2003,4,4,7613,#9edae5,Loom Operators
2003,7,7,2346,#cc0000,Language Professors
2003,221,221,4121,#b7834b,Data Entry Specialists
2003,29,29,9542,#581f05,Home Appliance Technicians
2003,25,25,7112,#9edae5,Mineral Extraction Machinery Operators
2003,19,19,7201,#9edae5,Metal Machining Supervisors
2003,12,12,2332,#cc0000,Vocational Instructors
2003,26,26,7161,#9edae5,Concrete Coaters
2003,20,21,9541,#581f05,Elevator Technicians
2003,27,27,7524,#9edae5,Glassware and Ceramic Workers
2003,233,233,7243,#9edae5,Metal Welders
2003,26,26,3771,#d66011,Professional Athletes
2003,2985,2990,4141,#b7834b,Stockmen
2003,2,2,3721,#d66011,Cinematography Technicians
2003,27,27,7211,#9edae5,Toolmakers
2003,189,189,3131,#d66011,Electricians and Electrical Engineers
2003,124,124,3511,#d66011,Accounting Technicians
2003,9,9,3713,#d66011,Graphic Designers
2003,21,21,3311,#d66011,Early Childhood Teachers
2003,280,282,7630,#9edae5,Other Clothing Manufacturing Workers
2003,286,286,7163,#9edae5,Glaziers
2003,118,120,1424,#752277,Supply Managers
2003,30,30,3011,#d66011,Industrial Lab Technicians
2003,4,4,6225,#105B10,Fruit Farm Workers
2003,209,209,5241,#17bcef,Door-to-Door Salesmen
2003,351,351,7741,#9edae5,Furniture Assemblers
2003,252,253,9113,#581f05,Industrial Machine Maintenance Workers
2003,15,15,2525,#cc0000,Financial Analysts
2003,3,3,7246,#9edae5,Wire Rope Workers
2003,24,24,3331,#d66011,Free Course Instructors
2003,21,21,3517,#d66011,Insurance Technicians
2003,9,10,8601,#ffc41c,Utility Supervisors
2003,4,4,2132,#cc0000,Chemists
2003,226,226,4201,#b7834b,Public Service Supervisors
2003,31,31,3514,#d66011,Judicial Clerks
2003,1735,1750,3541,#d66011,Sales Specialist
2003,25,25,8213,#ffc41c,Laminating Operators
2003,379,381,9921,#581f05,Basic Vehicle Mechanics
2003,22,22,3121,#d66011,Building Construction Technicians
2003,16,16,2236,#cc0000,Physiotherapists
2003,3,3,1237,#752277,R&amp;D Directors
2003,4,4,2613,#cc0000,Archivists
2003,55,55,6326,#105B10,Coal Workers
2003,27,27,9543,#581f05,Office Equipment Technicians
2003,364,365,5231,#17bcef,Product Installers
2003,3,3,5102,#17bcef,Laundry Supervisors
2003,499,499,5121,#17bcef,Domestic Service Workers
2003,7,7,2149,#cc0000,Production Engineers
2003,324,324,4213,#b7834b,Billing Collectors
2003,4,4,3711,#d66011,Library Technicians
2003,4,4,7618,#9edae5,Textile Inspectors
